Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Bronx,Country Club,40.844245936947424,-73.82409926753857,3,Sandwich Place,Chinese Restaurant,Fried Chicken Joint,Weight Loss Center,Playground,Comic Shop,Film Studio,Exhibit,Eye Doctor,Factory
Bronx,Parkchester,40.83793782226733,-73.8560031053579,0,Supermarket,Pizza Place,American Restaurant,Bank,Chinese Restaurant,Asian Restaurant,Shipping Store,Mattress Store,Martial Arts Dojo,Mexican Restaurant
Bronx,Westchester Square,40.84061949643274,-73.8421940760445,0,Pizza Place,Gym,Fast Food Restaurant,Pharmacy,Donut Shop,Bar,Mexican Restaurant,Shoe Store,Park,Building
Bronx,Van Nest,40.84360847124722,-73.86629918075617,0,Pizza Place,Deli / Bodega,Bakery,Coffee Shop,Donut Shop,Hookah Bar,Spa,Bus Station,Playground,Cosmetics Shop
Bronx,Morris Park,40.847549063536384,-73.85040178030428,0,Pizza Place,Deli / Bodega,Burger Joint,Bakery,Donut Shop,Frozen Yogurt Shop,Supermarket,Smoke Shop,Mediterranean Restaurant,Coffee Shop
Bronx,Belmont,40.857277100738976,-73.88845196134812,9,Italian Restaurant,Pizza Place,Deli / Bodega,Bakery,Grocery Store,Dessert Shop,Donut Shop,Food & Drink Shop,Café,Sandwich Place
Bronx,Spuyten Duyvil,40.8813949772709,-73.91719048210399,9,Park,Pharmacy,Grocery Store,Bus Line,Thai Restaurant,Tennis Stadium,Bank,Yoga Studio,Filipino Restaurant,Factory
Bronx,North Riverdale,40.9085428295067,-73.90453054908934,0,Pizza Place,Italian Restaurant,Food,Donut Shop,Mexican Restaurant,Bank,Bagel Shop,Coffee Shop,Mobile Phone Shop,Pharmacy
Bronx,Pelham Bay,40.850641409403394,-73.83207378240479,9,Italian Restaurant,Convenience Store,Gym / Fitness Center,Fast Food Restaurant,Sandwich Place,Donut Shop,Bank,Bus Stop,Lawyer,BBQ Joint
Bronx,Schuylerville,40.82657951686926,-73.82620275994081,0,Pharmacy,Mexican Restaurant,Pizza Place,Convenience Store,Bar,Bank,Fast Food Restaurant,Sandwich Place,Donut Shop,Hookah Bar
Bronx,Edgewater Park,40.82198611816354,-73.81388514428627,0,Deli / Bodega,Italian Restaurant,Pizza Place,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Sports Bar,Pub,American Restaurant,Park
Bronx,Castle Hill,40.819014376988356,-73.84802729582742,0,Latin American Restaurant,Market,Mobile Phone Shop,Pizza Place,Bus Stop,Diner,Pharmacy,Deli / Bodega,Bank,Falafel Restaurant
Bronx,Olinville,40.87137078192375,-73.86332361652785,3,Caribbean Restaurant,Furniture / Home Store,Food,Supermarket,Basketball Court,Fast Food Restaurant,Laundromat,Chinese Restaurant,Fried Chicken Joint,Deli / Bodega
Bronx,Pelham Gardens,40.86296562478002,-73.8416119483123,0,Donut Shop,Bus Station,Pharmacy,Rental Car Location,Food,Spanish Restaurant,Boat or Ferry,Café,Grocery Store,Chinese Restaurant
Bronx,Concourse,40.83428380733855,-73.91558941773452,0,Italian Restaurant,Bakery,Pizza Place,Supermarket,Art Museum,Chinese Restaurant,Check Cashing Service,Caribbean Restaurant,Pharmacy,Liquor Store
Bronx,Unionport,40.829774297871644,-73.85053524451942,0,Donut Shop,Latin American Restaurant,Comfort Food Restaurant,Caribbean Restaurant,Mobile Phone Shop,Electronics Store,Bakery,Seafood Restaurant,Lounge,Fast Food Restaurant
