Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Manhattan,Little Italy,40.719323793959106,-73.99730467208079,9,Bakery,Café,Ice Cream Shop,Bubble Tea Shop,Seafood Restaurant,Sandwich Place,Salon / Barbershop,Chinese Restaurant,Yoga Studio,Japanese Restaurant
Manhattan,Soho,40.72218384131798,-74.00065666959766,9,Clothing Store,Boutique,Women's Store,Men's Store,Shoe Store,Art Gallery,Italian Restaurant,Coffee Shop,Mediterranean Restaurant,Yoga Studio
Manhattan,West Village,40.734433935724375,-74.00617998126819,9,Italian Restaurant,Cosmetics Shop,New American Restaurant,Wine Bar,Jazz Club,Gastropub,French Restaurant,Bakery,Park,American Restaurant
Manhattan,Manhattan Valley,40.7973070417029,-73.96428617740662,9,Coffee Shop,Pizza Place,Yoga Studio,Mexican Restaurant,Spa,Thai Restaurant,Café,Bar,Deli / Bodega,Playground
Manhattan,Morningside Heights,40.80799973816586,-73.96389627905339,9,Coffee Shop,Food Truck,Bookstore,American Restaurant,Park,Burger Joint,Sandwich Place,Deli / Bodega,Tennis Court,Greek Restaurant
Manhattan,Gramercy,40.737209832715045,-73.98137594833548,9,Italian Restaurant,Bagel Shop,Wine Shop,American Restaurant,Cocktail Bar,Coffee Shop,Grocery Store,Thrift / Vintage Store,Mexican Restaurant,Pizza Place
Manhattan,Battery Park City,40.71193198394569,-74.01686930508625,9,Coffee Shop,Park,Hotel,Wine Shop,Italian Restaurant,Sandwich Place,Women's Store,Food Court,Fountain,Clothing Store
Manhattan,Financial District,40.707107107270524,-74.01066544521277,9,Coffee Shop,Hotel,Gym,Wine Shop,Bar,Steakhouse,Café,Pizza Place,Food Truck,Italian Restaurant
Queens,Astoria,40.768508593354966,-73.9156537430424,9,Middle Eastern Restaurant,Bar,Greek Restaurant,Hookah Bar,Bakery,Seafood Restaurant,Pub,Italian Restaurant,Bubble Tea Shop,Gourmet Shop
Queens,Woodside,40.746349088602265,-73.9018416683829,9,Grocery Store,Pub,Thai Restaurant,Deli / Bodega,Latin American Restaurant,Pizza Place,Donut Shop,American Restaurant,Bar,Bakery
Queens,Jackson Heights,40.75198138007372,-73.88282109164372,9,Latin American Restaurant,South American Restaurant,Peruvian Restaurant,Mobile Phone Shop,Bakery,Mexican Restaurant,Diner,Thai Restaurant,Supermarket,Grocery Store
Queens,Elmhurst,40.74404850512207,-73.88165622288395,9,Thai Restaurant,Mexican Restaurant,Chinese Restaurant,Bubble Tea Shop,Vietnamese Restaurant,South American Restaurant,Bar,Argentinian Restaurant,Bank,Malay Restaurant
Queens,Howard Beach,40.654225277384896,-73.83813764600289,9,Italian Restaurant,Pharmacy,Sandwich Place,Bagel Shop,Fast Food Restaurant,Breakfast Spot,Spa,Gym / Fitness Center,Market,Mexican Restaurant
Queens,South Corona,40.7423817501567,-73.85682497345266,9,Mexican Restaurant,Supermarket,Video Store,South American Restaurant,Park,Chinese Restaurant,Empanada Restaurant,Pizza Place,Sandwich Place,Donut Shop
Queens,Forest Hills,40.725263782165065,-73.84447500788991,9,Gym,Convenience Store,Thai Restaurant,Park,Gym / Fitness Center,Pharmacy,Pizza Place,Yoga Studio,Peruvian Restaurant,Supermarket
Queens,Kew Gardens,40.70517903541485,-73.82981905825709,9,Chinese Restaurant,Donut Shop,Bar,Pet Store,Pizza Place,Indian Restaurant,Bank,South American Restaurant,Pub,Liquor Store
Queens,Richmond Hill,40.69794731471767,-73.83183321446894,0,Lounge,Discount Store,Pizza Place,Latin American Restaurant,Supermarket,Donut Shop,Spanish Restaurant,Caribbean Restaurant,Park,Metro Station
Queens,Downtown Flushing,40.761163620818756,-73.82936758711861,3,Chinese Restaurant,Bubble Tea Shop,Korean Restaurant,Dumpling Restaurant,Hotpot Restaurant,Bakery,Karaoke Bar,Asian Restaurant,Ice Cream Shop,Dessert Shop
Queens,Long Island City,40.750217346105316,-73.93920223915512,9,Coffee Shop,Hotel,Mexican Restaurant,Pizza Place,Café,Bar,Gym / Fitness Center,Food Truck,Gym,Donut Shop
Queens,Sunnyside,40.74017628351928,-73.92691617561584,9,Pizza Place,Chinese Restaurant,Italian Restaurant,Discount Store,South American Restaurant,Hotel,Taco Place,Bakery,Grocery Store,Coffee Shop
Queens,East Elmhurst,40.76407323883095,-73.8670414765878,9,Donut Shop,Rental Car Location,Hotel Bar,Supermarket,Gas Station,Café,Snack Place,Gym,Coffee Shop,Lake
Queens,Maspeth,40.72542737409365,-73.89621713626867,0,Deli / Bodega,Pizza Place,Diner,Mobile Phone Shop,Bank,Grocery Store,Sandwich Place,Bakery,Pharmacy,Taco Place
Queens,Ridgewood,40.70832315613862,-73.90143517559595,0,Bank,Deli / Bodega,Pizza Place,Greek Restaurant,Grocery Store,Pharmacy,Egyptian Restaurant,Sushi Restaurant,Sandwich Place,Pet Store
Queens,Glendale,40.702762429678415,-73.87074167435614,9,Brewery,Park,Food & Drink Shop,Arts & Crafts Store,Bakery,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market
Queens,Rego Park,40.72897409480739,-73.85782686905377,9,Bakery,Grocery Store,Chinese Restaurant,Sandwich Place,Pharmacy,Donut Shop,Restaurant,Pizza Place,Sushi Restaurant,Shanghai Restaurant
Queens,Woodhaven,40.68988687915793,-73.85811046554328,0,Bank,Deli / Bodega,Park,Pharmacy,Donut Shop,Fast Food Restaurant,Mexican Restaurant,Metro Station,Thai Restaurant,Shoe Store
Queens,Ozone Park,40.680708468265465,-73.84320266173454,0,Pharmacy,Gym,Diner,Bank,Pizza Place,Bowling Alley,Furniture / Home Store,Fast Food Restaurant,Mobile Phone Shop,Donut Shop
Queens,South Ozone Park,40.66854957767199,-73.8098647864905,9,Bar,Park,Deli / Bodega,Hotel,Fast Food Restaurant,Donut Shop,Sandwich Place,Food Truck,Food Service,Filipino Restaurant
Queens,College Point,40.78490274926025,-73.84304528896132,0,Deli / Bodega,Pizza Place,Park,Pharmacy,Chinese Restaurant,Supermarket,Latin American Restaurant,Taco Place,Fast Food Restaurant,Caribbean Restaurant
Queens,Whitestone,40.78129076602698,-73.8142021661087,3,Train,Deli / Bodega,Bubble Tea Shop,Moving Target,Yoga Studio,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market
Queens,Bayside,40.76604063281068,-73.77427363068676,9,Bar,Indian Restaurant,Donut Shop,American Restaurant,Pizza Place,Spa,Pub,Sushi Restaurant,Bakery,Greek Restaurant
Queens,Auburndale,40.761729549032665,-73.79176243728068,9,Supermarket,Discount Store,Pet Store,Pharmacy,Toy / Game Store,Fast Food Restaurant,Miscellaneous Shop,Train Station,Mobile Phone Shop,Athletics & Sports
Queens,Little Neck,40.770826192826746,-73.73889775580747,9,Bakery,Italian Restaurant,Chinese Restaurant,Coffee Shop,Korean Restaurant,Deli / Bodega,Shanghai Restaurant,Bank,Bar,Thai Restaurant
Queens,Douglaston,40.76684609790768,-73.74249820727339,9,Italian Restaurant,Deli / Bodega,Chinese Restaurant,Yoga Studio,Lounge,Convenience Store,Diner,Donut Shop,Pharmacy,Shipping Store
Queens,Glen Oaks,40.74944079974336,-73.71548118999151,0,Pharmacy,Bank,Fast Food Restaurant,Park,Clothing Store,Shoe Store,Mexican Restaurant,Bakery,Bagel Shop,Middle Eastern Restaurant
Queens,Bellerose,40.72857318176679,-73.7201281482691,0,Pizza Place,Chinese Restaurant,Italian Restaurant,Deli / Bodega,Diner,Gym,Grocery Store,Bank,Liquor Store,Motel
Queens,Kew Gardens Hills,40.722578244228075,-73.82087764933574,0,Pizza Place,Bank,Playground,Bus Station,Middle Eastern Restaurant,Convenience Store,Candy Store,Deli / Bodega,Wine Bar,Dance Studio
Queens,Fresh Meadows,40.73439446533133,-73.7827133700327,3,Bus Station,Chinese Restaurant,Pharmacy,Grocery Store,Train,Pizza Place,Playground,Vegetarian / Vegan Restaurant,Food Truck,Moving Target
Queens,Briarwood,40.710935472522756,-73.81174822458641,9,Food Truck,Deli / Bodega,Fast Food Restaurant,Arts & Crafts Store,Pet Store,Mexican Restaurant,Indian Restaurant,Gym,Plaza,Bus Station
Queens,Jamaica Center,40.704657360687214,-73.79690165888294,9,Mobile Phone Shop,Clothing Store,Coffee Shop,Caribbean Restaurant,Sandwich Place,Performing Arts Venue,Pizza Place,Mexican Restaurant,Donut Shop,American Restaurant
Queens,Oakland Gardens,40.745618571418575,-73.75494976234339,3,Chinese Restaurant,Korean Restaurant,Yoga Studio,Donut Shop,Bagel Shop,Deli / Bodega,Dessert Shop,Pizza Place,Sandwich Place,Pharmacy
Queens,Queens Village,40.7188930921674,-73.73871484578433,0,Bank,Bus Stop,Donut Shop,Martial Arts Dojo,Mexican Restaurant,Bakery,Fast Food Restaurant,Mobile Phone Shop,Filipino Restaurant,Pizza Place
Queens,Hollis,40.71124344191908,-73.75925009335602,9,Baseball Field,Sandwich Place,Fried Chicken Joint,Shopping Mall,Grocery Store,Lounge,Park,Electronics Store,Fast Food Restaurant,Mobile Phone Shop
Queens,South Jamaica,40.69691125378992,-73.79042613135549,9,Bus Station,Bakery,Ice Cream Shop,Bus Line,Grocery Store,Park,Caribbean Restaurant,Supermarket,Diner,Dim Sum Restaurant
Queens,St. Albans,40.69444538522363,-73.75867603727725,3,Caribbean Restaurant,Deli / Bodega,Fried Chicken Joint,Market,Convenience Store,Discount Store,Donut Shop,Seafood Restaurant,Shopping Mall,Chinese Restaurant
Queens,Rochdale,40.675211395917366,-73.77258787620913,9,Market,Laundromat,Fast Food Restaurant,Bank,Breakfast Spot,Chinese Restaurant,Pharmacy,Food Court,Bus Stop,Sandwich Place
Queens,Springfield Gardens,40.66623049036863,-73.76042092682295,3,Fried Chicken Joint,Donut Shop,Bus Station,Check Cashing Service,Shoe Store,Gym,Liquor Store,Park,Fast Food Restaurant,Laundromat
Queens,Cambria Heights,40.69277463916089,-73.73526873708033,9,Caribbean Restaurant,Cosmetics Shop,Flower Shop,Liquor Store,Bus Stop,Moving Target,Bus Station,Bakery,Restaurant,Pharmacy
Queens,Rosedale,40.65981643342812,-73.73526079428285,3,Fried Chicken Joint,Supermarket,Bus Station,Pharmacy,Caribbean Restaurant,Sandwich Place,Baseball Field,Chinese Restaurant,Accessories Store,Deli / Bodega
Queens,Far Rockaway,40.60313443250093,-73.7549796804388,0,Grocery Store,Pizza Place,Pharmacy,Chinese Restaurant,Supermarket,Fast Food Restaurant,Breakfast Spot,Deli / Bodega,American Restaurant,Other Great Outdoors
Queens,Broad Channel,40.60302658351242,-73.82005489110327,0,Deli / Bodega,Pizza Place,Other Nightlife,Dive Bar,Yoga Studio,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market
Queens,Breezy Point,40.557401288454564,-73.92551196994177,9,Supermarket,Board Shop,Trail,Beach,Monument / Landmark,Fountain,Fish & Chips Shop,Frozen Yogurt Shop,Falafel Restaurant,Farm
Queens,Steinway,40.77592301564293,-73.90228960391681,9,Rental Car Location,Cosmetics Shop,Deli / Bodega,Sushi Restaurant,Irish Pub,Chinese Restaurant,Grocery Store,Bakery,Bagel Shop,Café
Queens,Beechhurst,40.79278140360052,-73.80436451720995,9,Gym,Yoga Studio,Boutique,Gym / Fitness Center,Frozen Yogurt Shop,Optical Shop,Pizza Place,Donut Shop,Dessert Shop,Deli / Bodega
Queens,Bay Terrace,40.782842806245604,-73.77680222621588,9,Clothing Store,Supermarket,Donut Shop,Women's Store,Kids Store,Lingerie Store,Cosmetics Shop,Mobile Phone Shop,Gift Shop,American Restaurant
Queens,Edgemere,40.595641807368544,-73.77613282391712,0,Pizza Place,Metro Station,Bus Station,Park,Asian Restaurant,Scenic Lookout,Farm,Seafood Restaurant,Gift Shop,Grocery Store
Queens,Arverne,40.58914394372975,-73.7919923313695,9,Surf Spot,Metro Station,Pizza Place,Donut Shop,Sandwich Place,Beach,Playground,Thai Restaurant,Bed & Breakfast,Board Shop
Queens,Seaside,40.58280169684563,-73.82236121088758,9,Beach,Ice Cream Shop,Deli / Bodega,Arepa Restaurant,Bus Station,BBQ Joint,Latin American Restaurant,Brazilian Restaurant,Pizza Place,Seafood Restaurant
Queens,Neponsit,40.57203673021705,-73.85754672410836,5,Beach,Bar,Yoga Studio,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Queens,Murray Hill,40.7641261226141,-73.81276269135874,9,Korean Restaurant,Coffee Shop,Bar,Japanese Restaurant,Hotel,Gym,Pub,Bakery,Italian Restaurant,French Restaurant
Queens,Floral Park,40.74137842194548,-73.70884705889253,0,Indian Restaurant,Basketball Court,Pizza Place,Grocery Store,Hobby Shop,Salon / Barbershop,Yoga Studio,Filipino Restaurant,Eye Doctor,Factory
Queens,Holliswood,40.72095720764445,-73.76714166714736,0,Pharmacy,Donut Shop,Mobile Phone Shop,Playground,Supermarket,Department Store,Design Studio,Factory,Falafel Restaurant,Farm
Queens,Jamaica Estates,40.71680483014617,-73.78722696936667,9,Eye Doctor,Intersection,Indian Restaurant,Lounge,Bus Station,Yoga Studio,Fish & Chips Shop,Factory,Falafel Restaurant,Farm
Queens,Queensboro Hill,40.744572309286745,-73.82580915110564,3,Chinese Restaurant,Bank,Bakery,Café,Bar,Bagel Shop,Fast Food Restaurant,Taiwanese Restaurant,Dumpling Restaurant,Asian Restaurant
Queens,Hillcrest,40.72382490182924,-73.7976030091268,9,College Cafeteria,College Basketball Court,College Academic Building,Coffee Shop,Market,Shipping Store,Donut Shop,Food,Bookstore,Italian Restaurant
Queens,Ravenswood,40.76170452605419,-73.93157506072886,9,Chinese Restaurant,Grocery Store,Brazilian Restaurant,Sushi Restaurant,Lounge,Bar,Market,Greek Restaurant,Taco Place,Fried Chicken Joint
Queens,Lindenwood,40.66391841925143,-73.84963782402448,0,Bakery,Hotel,Bank,Gym,Park,Pizza Place,Fast Food Restaurant,Donut Shop,Pharmacy,Japanese Restaurant
Queens,Laurelton,40.66788389660249,-73.7402560798983,9,Caribbean Restaurant,Train Station,Cosmetics Shop,Park,Sculpture Garden,Yoga Studio,Filipino Restaurant,Eye Doctor,Factory,Falafel Restaurant
Queens,Lefrak City,40.736074570830844,-73.86252471413745,9,Department Store,Bakery,Cosmetics Shop,Frozen Yogurt Shop,Supermarket,Shopping Mall,Mexican Restaurant,Bank,Liquor Store,BBQ Joint
Queens,Belle Harbor,40.57615556543113,-73.85401750392529,9,Beach,Deli / Bodega,Spa,Bagel Shop,Pub,Construction & Landscaping,Donut Shop,Pharmacy,Chinese Restaurant,Boutique
Queens,Rockaway Park,40.58034295646135,-73.84153370226194,0,Beach,Ice Cream Shop,Pizza Place,Bank,Pharmacy,Mediterranean Restaurant,French Restaurant,Seafood Restaurant,Sandwich Place,Board Shop
Queens,Somerville,40.59771061565772,-73.79664750844056,1,Park,Yoga Studio,Frozen Yogurt Shop,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Queens,Brookville,40.660003227336155,-73.75175310731159,6,Deli / Bodega,Home Service,Yoga Studio,Fish Market,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Queens,Bellaire,40.733014040278384,-73.73889198912487,3,Chinese Restaurant,Convenience Store,Grocery Store,Greek Restaurant,Moving Target,Bus Station,Construction & Landscaping,Laundromat,Deli / Bodega,Italian Restaurant
Queens,North Corona,40.75407099904894,-73.85751790676454,0,Deli / Bodega,Bakery,Pizza Place,Gym / Fitness Center,South American Restaurant,Museum,Mexican Restaurant,Caribbean Restaurant,Mobile Phone Shop,Fast Food Restaurant
Queens,Forest Hills Gardens,40.71461108151174,-73.84102211234017,9,Bakery,Grocery Store,Asian Restaurant,Donut Shop,Mexican Restaurant,Bagel Shop,Pharmacy,Tapas Restaurant,Sandwich Place,Pizza Place
Staten Island,St. George,40.644981571004436,-74.07935312512805,9,Bar,Bus Stop,Scenic Lookout,Toy / Game Store,Tourist Information Center,Tapas Restaurant,Farmers Market,Donut Shop,Monument / Landmark,Pizza Place
Staten Island,New Brighton,40.640614559135145,-74.08701650516633,2,Bus Stop,Park,Deli / Bodega,Chinese Restaurant,Playground,Discount Store,Convenience Store,Bowling Alley,Farmers Market,Fish Market
Staten Island,Stapleton,40.626927625381796,-74.07790192660073,0,Pizza Place,Bank,Discount Store,Sandwich Place,Bus Stop,Fast Food Restaurant,Bar,Beer Bar,Mexican Restaurant,Miscellaneous Shop
Staten Island,Rosebank,40.61530494652765,-74.06980526716148,0,Italian Restaurant,Pizza Place,Grocery Store,Deli / Bodega,Donut Shop,Mexican Restaurant,Pharmacy,Bagel Shop,Filipino Restaurant,Liquor Store
Staten Island,West Brighton,40.63187892654611,-74.10718178265617,9,Coffee Shop,Music Store,Diner,Italian Restaurant,Bar,American Restaurant,Pharmacy,Sandwich Place,Fast Food Restaurant,Liquor Store
Staten Island,Grymes Hill,40.62418479131304,-74.08724819983736,2,Dog Run,Basketball Court,Moving Target,Bus Stop,Flea Market,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Staten Island,Todt Hill,40.597068518146756,-74.11132881800887,1,Park,Yoga Studio,Frozen Yogurt Shop,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,South Beach,40.5802474135096,-74.07955292539826,2,Pier,Deli / Bodega,Beach,Athletics & Sports,Bus Stop,Yoga Studio,Fish Market,Falafel Restaurant,Farm,Farmers Market
Staten Island,Port Richmond,40.63366930554369,-74.12943426797015,0,Martial Arts Dojo,Donut Shop,Rental Car Location,Mexican Restaurant,Pizza Place,Yoga Studio,Eye Doctor,Factory,Falafel Restaurant,Farm
Staten Island,Mariner's Harbor,40.632546390481174,-74.15008537046988,2,Italian Restaurant,Deli / Bodega,Bus Stop,French Restaurant,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Port Ivory,40.63968297845546,-74.17464532993549,4,Bar,Yoga Studio,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Staten Island,Castleton Corners,40.61333593766747,-74.1191805853485,0,Pizza Place,Bank,Board Shop,Grocery Store,Bagel Shop,Mini Golf,Coffee Shop,Go Kart Track,Sandwich Place,Tattoo Parlor
Staten Island,New Springville,40.594252379161745,-74.16496031329834,9,Mobile Phone Shop,Soup Place,Donut Shop,Mexican Restaurant,Grocery Store,Coffee Shop,Bagel Shop,Pharmacy,Liquor Store,Sandwich Place
Staten Island,Travis,40.586313751032854,-74.19073717538123,9,Deli / Bodega,Bowling Alley,Hotel,Comedy Club,Spanish Restaurant,Gym / Fitness Center,Gym,Park,Business Service,Baseball Field
Staten Island,New Dorp,40.572572318206355,-74.11647943606387,9,Italian Restaurant,Pizza Place,Bank,Hobby Shop,Shipping Store,Mexican Restaurant,Bakery,Bagel Shop,Sandwich Place,Train Station
Staten Island,Oakwood,40.55846224328885,-74.12156593771905,4,Bar,Yoga Studio,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Staten Island,Great Kills,40.54948022871365,-74.14932381490998,9,Bar,Italian Restaurant,Pizza Place,Pharmacy,Sandwich Place,Grocery Store,Mexican Restaurant,Liquor Store,Train Station,Falafel Restaurant
Staten Island,Eltingville,40.54223074745079,-74.16433080419367,0,Sushi Restaurant,Pizza Place,Liquor Store,Italian Restaurant,Fast Food Restaurant,Diner,Bank,Pharmacy,Deli / Bodega,Martial Arts Dojo
Staten Island,Annadale,40.538114174745104,-74.17854866165884,0,Sports Bar,Restaurant,Dance Studio,Pizza Place,Cosmetics Shop,Liquor Store,Diner,Train Station,Yoga Studio,Fast Food Restaurant
Staten Island,Woodrow,40.53745265012707,-74.22135055371615,2,Bus Stop,Gym / Fitness Center,Racetrack,Fish Market,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Tottenville,40.50533376115647,-74.2465693423529,2,Italian Restaurant,Bus Stop,Deli / Bodega,Thrift / Vintage Store,Cosmetics Shop,Mexican Restaurant,Home Service,Fish Market,Falafel Restaurant,Farm
Staten Island,Tompkinsville,40.637316067110355,-74.08055351790122,9,Sandwich Place,Brewery,Gastropub,Café,Grocery Store,Thrift / Vintage Store,Caribbean Restaurant,Pizza Place,Rock Club,Supermarket
Staten Island,Silver Lake,40.6191931079268,-74.09629029235467,9,Golf Course,Burger Joint,American Restaurant,Coffee Shop,Gym,Yoga Studio,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Sunnyside,40.612760157564935,-74.09712552178537,9,Pizza Place,Chinese Restaurant,Italian Restaurant,Discount Store,South American Restaurant,Hotel,Taco Place,Bakery,Grocery Store,Coffee Shop
Brooklyn,Ditmas Park,40.64367518334101,-73.96101312466787,0,Caribbean Restaurant,Deli / Bodega,Donut Shop,Pizza Place,Pharmacy,Metro Station,Clothing Store,Food & Drink Shop,Tibetan Restaurant,Gym / Fitness Center
Brooklyn,Wingate,40.66094656188115,-73.9371868055932,9,Fast Food Restaurant,Rental Car Location,Vietnamese Restaurant,Grocery Store,Hardware Store,Pharmacy,BBQ Joint,Liquor Store,Field,Playground
Brooklyn,Rugby,40.655572313280814,-73.92688212616963,0,Supermarket,Caribbean Restaurant,Bus Station,Pizza Place,Sandwich Place,Seafood Restaurant,Grocery Store,Coffee Shop,Donut Shop,Mobile Phone Shop
Staten Island,Park Hill,40.609190444345614,-74.08015734936303,2,Athletics & Sports,Bus Stop,Hotel,Coffee Shop,Gym / Fitness Center,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Westerleigh,40.62109047275413,-74.13304143951713,8,Convenience Store,Arcade,Yoga Studio,Fish Market,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Graniteville,40.620171512231934,-74.1531524638777,9,Food Truck,Boat or Ferry,Bus Station,Grocery Store,Yoga Studio,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Arlington,40.635325099114965,-74.16510420241131,2,Bus Stop,Deli / Bodega,Food Service,Grocery Store,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Arrochar,40.596312571276776,-74.06712363225581,2,Deli / Bodega,Bus Stop,Italian Restaurant,Mediterranean Restaurant,Middle Eastern Restaurant,Sandwich Place,Liquor Store,Bagel Shop,Hotel,Pizza Place
Staten Island,Grasmere,40.598268359599956,-74.07667436279057,2,Bus Stop,Bagel Shop,Bank,Vegetarian / Vegan Restaurant,Ice Cream Shop,Flower Shop,Food,Food & Drink Shop,Cosmetics Shop,Grocery Store
Staten Island,Old Town,40.59632891379517,-74.08751118005587,9,Italian Restaurant,Bank,Video Store,Pharmacy,Pizza Place,Playground,Liquor Store,Mattress Store,Donut Shop,Optical Shop
Staten Island,Dongan Hills,40.58867294819932,-74.09639905312528,0,Pizza Place,Italian Restaurant,Bank,Pharmacy,Bagel Shop,Fast Food Restaurant,Sandwich Place,Tattoo Parlor,Train Station,Flower Shop
Staten Island,Midland Beach,40.57352690574288,-74.09348266303599,9,Restaurant,Beach,Bookstore,Pet Store,Arts & Crafts Store,Chinese Restaurant,Bus Stop,Medical Center,Dessert Shop,Deli / Bodega
Staten Island,Grant City,40.57621558711792,-74.10585598545441,9,Convenience Store,Fast Food Restaurant,Pizza Place,French Restaurant,Grocery Store,Greek Restaurant,Mexican Restaurant,Event Space,Bar,Pharmacy
Staten Island,New Dorp Beach,40.56425549307338,-74.10432707469131,9,Italian Restaurant,Deli / Bodega,Beach,Diner,Sports Bar,Electronics Store,Food,Restaurant,Skating Rink,Scenic Lookout
Staten Island,Bay Terrace,40.55398800858465,-74.13916622175775,9,Clothing Store,Supermarket,Donut Shop,Women's Store,Kids Store,Lingerie Store,Cosmetics Shop,Mobile Phone Shop,Gift Shop,American Restaurant
Staten Island,Huguenot,40.53191192048964,-74.1917410574782,9,Italian Restaurant,Ice Cream Shop,Spa,Bank,Train Station,Sandwich Place,Donut Shop,Bridal Shop,Dim Sum Restaurant,Flea Market
Staten Island,Pleasant Plains,40.52469937611818,-74.21983106616784,0,Pizza Place,Donut Shop,Bus Stop,Ice Cream Shop,Bank,Fast Food Restaurant,Flower Shop,Discount Store,Toll Plaza,Deli / Bodega
Staten Island,Butler Manor,40.50608165346309,-74.22950350260035,2,Baseball Field,Pool,Convenience Store,Bus Stop,Yoga Studio,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Charleston,40.53053148283317,-74.23215775896533,9,Shoe Store,Cosmetics Shop,Big Box Store,Grocery Store,Bakery,Scenic Lookout,Coffee Shop,Clothing Store,Gym / Fitness Center,Department Store
Staten Island,Rossville,40.54940400650077,-74.21572851113959,0,Pizza Place,Bagel Shop,Grocery Store,Pool,Chinese Restaurant,Liquor Store,Ice Cream Shop,Convenience Store,Pharmacy,Deli / Bodega
Staten Island,Arden Heights,40.549285822783254,-74.185886745839,2,Pharmacy,Deli / Bodega,Pizza Place,Coffee Shop,Bus Stop,Fish & Chips Shop,Eye Doctor,Factory,Falafel Restaurant,Farm
Staten Island,Greenridge,40.55971249634296,-74.19150620964295,3,Chinese Restaurant,Spa,Bar,Lounge,Park,Soccer Field,Miscellaneous Shop,Donut Shop,Flower Shop,Farmers Market
Staten Island,Heartland Village,40.589138948752854,-74.15902208156608,9,Moving Target,Bookstore,Coffee Shop,Spa,Mexican Restaurant,Optical Shop,Pizza Place,Mobile Phone Shop,Pharmacy,Restaurant
Staten Island,Chelsea,40.594726027462976,-74.18956045519697,9,Coffee Shop,Italian Restaurant,Ice Cream Shop,American Restaurant,Bakery,Nightclub,Hotel,Seafood Restaurant,Theater,Market
Staten Island,Bloomfield,40.605778684523614,-74.18725638381574,2,Recreation Center,Theme Park,Discount Store,Bus Stop,Yoga Studio,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Bulls Head,40.60959180042034,-74.15940948657129,0,Bus Stop,Pizza Place,Pharmacy,Café,Japanese Restaurant,Chinese Restaurant,Deli / Bodega,Scenic Lookout,Tex-Mex Restaurant,Thai Restaurant
Manhattan,Carnegie Hill,40.78268256712574,-73.9532564683712,9,Pizza Place,Cosmetics Shop,Coffee Shop,Café,Yoga Studio,Japanese Restaurant,Spa,Bookstore,Gym,Bar
Manhattan,Noho,40.72325901885772,-73.98843368023604,9,Italian Restaurant,French Restaurant,Cocktail Bar,Mexican Restaurant,Grocery Store,Hotel,Coffee Shop,Sushi Restaurant,Bookstore,American Restaurant
Manhattan,Civic Center,40.71522892046285,-74.00541529873362,9,Gym / Fitness Center,Bakery,Italian Restaurant,French Restaurant,Cocktail Bar,Coffee Shop,Sporting Goods Shop,Spa,Sandwich Place,Yoga Studio
Manhattan,Midtown South,40.74850966431225,-73.98871313285254,9,Korean Restaurant,Japanese Restaurant,Hotel Bar,Hotel,Coffee Shop,Cosmetics Shop,Italian Restaurant,Cocktail Bar,Gym / Fitness Center,Bakery
Staten Island,Richmond Town,40.569605942755096,-74.13405729862578,9,Bagel Shop,Italian Restaurant,History Museum,Spa,Café,Film Studio,Exhibit,Eye Doctor,Factory,Falafel Restaurant
Staten Island,Shore Acres,40.60971934079289,-74.06667766061778,2,Italian Restaurant,Deli / Bodega,Bus Stop,Intersection,Bar,Bagel Shop,Restaurant,Pizza Place,Chinese Restaurant,Nail Salon
Staten Island,Clifton,40.61917845202847,-74.07264244548406,9,Grocery Store,Mexican Restaurant,Train Station,Intersection,Eastern European Restaurant,Cajun / Creole Restaurant,Electronics Store,Discount Store,Museum,Burger Joint
